Year,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Arena,Attend.,Playoffs,W/L%,Losing_season,Champion,won_last,won_last_3
1990.0,Los Angeles Lakers,28.9,63.0,19.0,58.0,24.0,6.78,-0.04,6.74,114.0,107.0,7.0,96.3,0.345,0.12,0.562,0.512,13.2,32.8,0.271,0.479,12.8,68.5,0.219,Great Western Forum,712498.0,N,0.7682926829268293,N,N,N,N
1990.0,Phoenix Suns,26.7,54.0,28.0,58.0,24.0,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,0.478,12.8,68.8,0.209,Arizona Veterans Memorial Coliseum,578661.0,N,0.6585365853658537,N,N,N,N
1990.0,Detroit Pistons,29.5,59.0,23.0,57.0,25.0,6.09,-0.68,5.41,109.9,103.5,6.4,94.4,0.323,0.078,0.537,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.262,The Palace of Auburn Hills,879705.0,N,0.7195121951219512,N,Y,N,N
1990.0,Portland Trail Blazers,26.7,59.0,23.0,57.0,25.0,6.32,0.16,6.48,110.5,104.4,6.1,102.3,0.362,0.075,0.535,0.486,13.4,36.5,0.269,0.479,15.2,70.8,0.265,Memorial Coliseum,528132.0,N,0.7195121951219512,N,N,Y,N
1990.0,Philadelphia 76ers,27.4,53.0,29.0,54.0,28.0,4.99,-0.75,4.23,113.5,108.4,5.1,96.5,0.357,0.077,0.556,0.502,12.9,32.0,0.281,0.495,13.3,68.4,0.223,The Spectrum,565926.0,N,0.6463414634146342,N,N,N,N
1990.0,Utah Jazz,27.6,55.0,27.0,54.0,28.0,4.79,0.03,4.82,110.3,105.4,4.9,96.1,0.377,0.096,0.57,0.522,15.5,30.1,0.284,0.468,13.4,69.5,0.268,Salt Palace,517256.0,N,0.6707317073170732,N,N,N,N
1990.0,Boston Celtics,30.2,52.0,30.0,51.0,31.0,3.99,-0.76,3.23,112.0,107.9,4.1,98.2,0.301,0.057,0.557,0.506,13.4,31.5,0.251,0.477,10.8,72.1,0.223,Boston Garden,611537.0,N,0.6341463414634146,N,N,N,N
1990.0,San Antonio Spurs,26.4,56.0,26.0,50.0,32.0,3.49,0.09,3.58,107.7,104.2,3.5,98.5,0.362,0.032,0.537,0.488,14.7,34.2,0.27,0.477,15.0,68.7,0.235,HemisFair Arena,586787.0,N,0.6829268292682927,N,N,N,N
1990.0,Chicago Bulls,26.1,55.0,27.0,50.0,32.0,3.26,-0.51,2.74,112.3,109.0,3.3,96.7,0.302,0.094,0.559,0.516,13.4,31.9,0.235,0.508,15.2,68.1,0.262,Chicago Stadium,752564.0,N,0.6707317073170732,N,N,N,N
1990.0,Houston Rockets,27.9,41.0,41.0,45.0,37.0,1.46,0.24,1.71,104.8,103.4,1.4,101.2,0.313,0.068,0.531,0.491,15.5,33.1,0.225,0.475,14.7,69.2,0.228,The Summit,649702.0,N,0.5,N,N,N,N
1990.0,New York Knicks,26.5,45.0,37.0,45.0,37.0,1.41,-0.63,0.78,109.4,108.0,1.4,98.2,0.331,0.1,0.547,0.501,14.8,34.2,0.25,0.482,13.3,66.0,0.215,Madison Square Garden (IV),730432.0,N,0.5487804878048781,N,N,N,N
1990.0,Denver Nuggets,29.5,43.0,39.0,45.0,37.0,1.41,0.15,1.56,108.0,106.7,1.3,105.4,0.275,0.084,0.523,0.478,11.2,29.1,0.217,0.501,15.2,71.3,0.264,McNichols Sports Arena,484288.0,N,0.524390243902439,N,N,N,N
1990.0,Seattle SuperSonics,25.6,41.0,41.0,44.0,38.0,1.04,0.36,1.4,110.9,109.8,1.1,95.3,0.299,0.09,0.535,0.494,14.0,37.5,0.222,0.499,14.3,69.1,0.297,Seattle Center Coliseum,473277.0,N,0.5,N,N,N,N
1990.0,Atlanta Hawks,28.6,41.0,41.0,44.0,38.0,1.02,-0.39,0.64,113.0,111.9,1.1,95.8,0.362,0.059,0.547,0.496,13.5,36.3,0.277,0.509,14.0,65.5,0.254,Omni Coliseum,573711.0,N,0.5,N,N,N,N
1990.0,Indiana Pacers,26.4,42.0,40.0,41.0,41.0,0.16,-0.34,-0.18,111.5,111.4,0.1,97.0,0.343,0.113,0.572,0.518,14.6,29.0,0.28,0.494,12.6,67.1,0.25,Market Square Arena,518923.0,N,0.5121951219512195,N,N,N,N
1990.0,Dallas Mavericks,29.2,47.0,35.0,41.0,41.0,0.07,0.35,0.42,107.2,107.2,0.0,94.5,0.331,0.071,0.536,0.487,13.6,30.3,0.254,0.481,13.4,67.9,0.232,Reunion Arena,691490.0,N,0.573170731707317,N,N,N,N
1990.0,Cleveland Cavaliers,26.1,42.0,40.0,40.0,42.0,-0.3,-0.31,-0.62,106.9,107.2,-0.3,95.0,0.315,0.122,0.529,0.485,13.5,31.5,0.235,0.49,14.0,67.7,0.202,Coliseum at Richfield,695710.0,N,0.5121951219512195,N,N,N,N
1990.0,Milwaukee Bucks,28.1,44.0,38.0,39.0,43.0,-0.78,-0.28,-1.06,107.3,108.1,-0.8,98.0,0.318,0.094,0.533,0.488,13.9,31.5,0.241,0.492,15.8,66.0,0.29,Bradley Center,659602.0,N,0.5365853658536586,N,N,N,N
1990.0,Washington Bullets,27.5,31.0,51.0,35.0,47.0,-2.16,-0.27,-2.43,107.5,109.7,-2.2,99.4,0.276,0.026,0.519,0.477,12.4,32.4,0.211,0.484,12.4,67.2,0.249,Capital Centre,458332.0,N,0.3780487804878049,Y,N,N,N
1990.0,Golden State Warriors,26.0,37.0,45.0,33.0,49.0,-3.13,0.59,-2.55,109.6,112.6,-3.0,105.9,0.397,0.104,0.563,0.501,14.3,26.1,0.321,0.494,13.6,61.5,0.253,Oakland-Alameda County Coliseum Arena,616025.0,N,0.45121951219512196,Y,N,N,N
1990.0,Los Angeles Clippers,24.5,30.0,52.0,32.0,50.0,-3.39,0.59,-2.8,104.0,107.4,-3.4,99.2,0.359,0.034,0.536,0.488,16.3,30.9,0.265,0.489,14.3,67.3,0.241,Los Angeles Memorial Sports Arena,486621.0,N,0.36585365853658536,Y,N,N,N
1990.0,Minnesota Timberwolves,26.2,22.0,60.0,29.0,53.0,-4.23,0.63,-3.6,103.6,108.2,-4.6,91.1,0.311,0.043,0.499,0.451,13.3,34.0,0.232,0.492,15.5,66.2,0.291,Hubert H. Humphrey Metrodome,1072572.0,N,0.2682926829268293,Y,N,N,N
1990.0,Sacramento Kings,26.4,23.0,59.0,28.0,54.0,-5.06,0.65,-4.41,104.8,110.0,-5.2,96.7,0.278,0.092,0.527,0.484,13.5,27.3,0.215,0.484,12.5,67.3,0.255,ARCO Arena (II),697667.0,N,0.2804878048780488,Y,N,N,N
1990.0,New Jersey Nets,26.6,17.0,65.0,21.0,61.0,-7.87,0.05,-7.82,100.7,108.6,-7.9,99.3,0.317,0.068,0.486,0.435,13.9,34.5,0.237,0.495,14.9,67.0,0.272,Brendan Byrne Arena,473760.0,N,0.2073170731707317,Y,N,N,N
1990.0,Charlotte Hornets,25.6,19.0,63.0,21.0,61.0,-7.82,0.81,-7.0,102.0,109.9,-7.9,98.1,0.274,0.085,0.511,0.47,13.2,26.1,0.207,0.506,14.7,67.5,0.269,Charlotte Coliseum,979941.0,N,0.23170731707317074,Y,N,N,N
1990.0,Orlando Magic,26.5,18.0,64.0,21.0,61.0,-8.91,0.19,-8.73,105.8,114.3,-8.5,104.1,0.362,0.052,0.521,0.467,13.9,33.7,0.274,0.511,12.1,67.8,0.245,Orlando Arena,617468.0,N,0.21951219512195122,Y,N,N,N
1990.0,Miami Heat,24.7,18.0,64.0,18.0,64.0,-9.72,0.13,-9.59,99.3,108.9,-9.6,101.0,0.276,0.041,0.501,0.467,15.9,33.5,0.19,0.499,15.2,67.3,0.292,Miami Arena,615328.0,N,0.21951219512195122,Y,N,N,N
1991.0,Chicago Bulls,26.9,61.0,21.0,63.0,19.0,9.1,-0.53,8.57,114.6,105.2,9.4,95.6,0.296,0.06,0.56,0.521,12.8,34.7,0.225,0.488,15.3,68.8,0.226,Chicago Stadium,757745.0,N,0.7439024390243902,N,Y,N,N
1991.0,Portland Trail Blazers,27.9,63.0,19.0,62.0,20.0,8.68,-0.21,8.47,112.8,104.3,8.5,100.5,0.344,0.123,0.554,0.509,13.4,33.8,0.259,0.473,14.4,70.4,0.25,Memorial Coliseum,528244.0,N,0.7682926829268293,N,N,Y,N
1991.0,Los Angeles Lakers,28.4,58.0,24.0,59.0,23.0,6.74,-0.01,6.73,112.1,105.0,7.1,94.1,0.327,0.108,0.551,0.5,13.2,33.0,0.261,0.474,12.8,68.3,0.176,Great Western Forum,682024.0,N,0.7073170731707317,N,N,N,N
1991.0,Phoenix Suns,26.9,55.0,27.0,57.0,25.0,6.55,-0.06,6.49,112.6,106.1,6.5,101.0,0.372,0.06,0.558,0.506,13.5,33.0,0.287,0.474,13.1,68.5,0.227,Arizona Veterans Memorial Coliseum,589591.0,N,0.6707317073170732,N,N,N,N
1991.0,Boston Celtics,28.2,56.0,26.0,56.0,26.0,5.82,-0.6,5.22,112.6,106.7,5.9,98.5,0.277,0.048,0.565,0.52,14.0,33.0,0.228,0.465,11.7,69.3,0.217,Boston Garden,611537.0,N,0.6829268292682927,N,N,N,N
1991.0,San Antonio Spurs,26.0,55.0,27.0,53.0,29.0,4.51,-0.21,4.3,107.8,103.3,4.5,98.6,0.352,0.043,0.544,0.494,15.2,33.3,0.269,0.463,13.2,70.3,0.228,HemisFair Arena,651965.0,N,0.6707317073170732,N,N,N,N
1991.0,Detroit Pistons,30.5,50.0,32.0,50.0,32.0,3.27,-0.19,3.08,108.2,104.6,3.6,91.9,0.322,0.064,0.523,0.474,13.1,34.7,0.245,0.464,12.8,71.0,0.248,The Palace of Auburn Hills,879614.0,N,0.6097560975609756,N,N,N,N
1991.0,Utah Jazz,28.7,54.0,28.0,50.0,32.0,3.33,-0.15,3.18,108.6,105.1,3.5,95.3,0.378,0.07,0.559,0.503,14.6,27.6,0.298,0.473,13.7,69.2,0.23,Salt Palace,514751.0,N,0.6585365853658537,N,N,N,N
1991.0,Houston Rockets,27.3,52.0,30.0,50.0,32.0,3.5,-0.23,3.27,107.4,103.9,3.5,98.5,0.302,0.136,0.53,0.489,14.5,34.4,0.224,0.469,14.7,66.9,0.22,The Summit,613230.0,N,0.6341463414634146,N,N,N,N
1991.0,Milwaukee Bucks,29.3,48.0,34.0,48.0,34.0,2.48,-0.15,2.33,109.7,107.2,2.5,96.1,0.323,0.108,0.55,0.499,14.3,31.8,0.258,0.5,16.4,66.1,0.259,Bradley Center,673687.0,N,0.5853658536585366,N,N,N,N
1991.0,Golden State Warriors,26.5,44.0,38.0,45.0,37.0,1.63,0.09,1.72,111.9,110.3,1.6,103.6,0.376,0.109,0.559,0.504,13.7,31.0,0.294,0.497,15.2,64.1,0.289,Oakland-Alameda County Coliseum Arena,616025.0,N,0.5365853658536586,N,N,N,N
1991.0,Seattle SuperSonics,26.2,41.0,41.0,44.0,38.0,1.23,0.08,1.31,109.7,108.5,1.2,96.2,0.301,0.06,0.542,0.501,14.8,36.3,0.226,0.503,16.0,66.3,0.277,Seattle Center Coliseum,501250.0,N,0.5,N,N,N,N
1991.0,Atlanta Hawks,29.0,43.0,39.0,43.0,39.0,0.77,-0.05,0.72,110.9,110.1,0.8,98.6,0.352,0.116,0.54,0.482,12.9,33.1,0.282,0.509,13.7,69.1,0.22,Omni Coliseum,529161.0,N,0.524390243902439,N,N,N,N
1991.0,New York Knicks,28.1,39.0,43.0,40.0,42.0,-0.23,-0.2,-0.43,107.1,107.3,-0.2,95.0,0.315,0.082,0.544,0.498,15.1,31.1,0.242,0.489,13.4,68.5,0.205,Madison Square Garden (IV),654962.0,N,0.47560975609756095,Y,N,N,N
1991.0,Philadelphia 76ers,28.4,44.0,38.0,41.0,41.0,-0.18,-0.21,-0.39,107.9,108.1,-0.2,95.7,0.342,0.089,0.542,0.489,13.4,28.1,0.27,0.489,12.5,68.3,0.187,The Spectrum,624582.0,N,0.5365853658536586,N,N,N,N
1991.0,Indiana Pacers,26.4,41.0,41.0,40.0,42.0,-0.39,0.02,-0.37,111.7,112.1,-0.4,99.4,0.354,0.107,0.566,0.511,14.4,30.6,0.287,0.503,13.1,66.4,0.254,Market Square Arena,465650.0,N,0.5,N,N,N,N
1991.0,Cleveland Cavaliers,26.8,33.0,49.0,34.0,48.0,-2.46,0.14,-2.33,106.1,108.7,-2.6,95.1,0.317,0.07,0.534,0.487,14.1,29.7,0.243,0.497,13.3,68.0,0.206,Coliseum at Richfield,623735.0,N,0.4024390243902439,Y,N,N,N
1991.0,Los Angeles Clippers,25.1,31.0,51.0,32.0,50.0,-3.45,0.29,-3.16,103.0,106.5,-3.5,99.9,0.311,0.059,0.511,0.471,14.7,33.3,0.218,0.481,13.7,69.2,0.266,Los Angeles Memorial Sports Arena,522111.0,N,0.3780487804878049,Y,N,N,N
1991.0,Orlando Magic,26.1,31.0,51.0,31.0,51.0,-3.98,0.18,-3.79,105.9,109.9,-4.0,99.5,0.337,0.104,0.521,0.473,14.3,33.0,0.251,0.493,12.8,68.9,0.26,Orlando Arena,617668.0,N,0.3780487804878049,Y,N,N,N
1991.0,Minnesota Timberwolves,26.2,29.0,53.0,30.0,52.0,-3.93,0.18,-3.75,106.7,110.9,-4.2,92.3,0.286,0.052,0.499,0.456,11.5,34.9,0.21,0.502,13.8,65.9,0.248,Target Center,779530.0,N,0.35365853658536583,Y,N,N,N
1991.0,New Jersey Nets,26.2,26.0,56.0,29.0,53.0,-4.51,-0.02,-4.53,102.9,107.4,-4.5,99.3,0.301,0.079,0.5,0.455,14.4,35.7,0.222,0.478,14.9,64.6,0.267,Brendan Byrne Arena,480786.0,N,0.3170731707317073,Y,N,N,N
1991.0,Dallas Mavericks,30.6,28.0,54.0,29.0,53.0,-4.57,0.31,-4.27,105.5,110.3,-4.8,94.2,0.288,0.087,0.528,0.485,13.3,28.3,0.219,0.495,12.6,67.9,0.245,Reunion Arena,683927.0,N,0.34146341463414637,Y,N,N,N
1991.0,Washington Bullets,26.5,30.0,52.0,28.0,54.0,-4.98,0.14,-4.84,103.0,108.1,-5.1,97.5,0.279,0.039,0.509,0.47,14.3,32.2,0.203,0.478,13.1,66.0,0.242,Capital Centre,443683.0,N,0.36585365853658536,Y,N,N,N
1991.0,Charlotte Hornets,25.5,26.0,56.0,27.0,55.0,-5.24,0.3,-4.95,105.0,110.4,-5.4,97.3,0.315,0.059,0.526,0.477,13.9,29.0,0.245,0.504,15.0,65.7,0.272,Charlotte Coliseum,978141.0,N,0.3170731707317073,Y,N,N,N
1991.0,Miami Heat,24.0,24.0,58.0,25.0,57.0,-5.99,0.08,-5.91,102.0,108.1,-6.1,99.3,0.323,0.065,0.512,0.469,16.0,34.3,0.231,0.491,15.3,66.2,0.286,Miami Arena,615328.0,N,0.2926829268292683,Y,N,N,N
1991.0,Sacramento Kings,25.9,25.0,57.0,23.0,59.0,-6.78,0.51,-6.27,102.0,109.1,-7.1,94.7,0.309,0.085,0.512,0.468,14.1,28.8,0.226,0.481,14.3,65.6,0.306,ARCO Arena (II),697604.0,N,0.3048780487804878,Y,N,N,N
1991.0,Denver Nuggets,26.5,20.0,62.0,19.0,63.0,-10.91,0.6,-10.31,105.2,114.7,-9.5,113.7,0.255,0.119,0.498,0.457,11.9,33.1,0.195,0.524,14.1,67.1,0.299,McNichols Sports Arena,438103.0,N,0.24390243902439024,Y,N,N,N
1992.0,Chicago Bulls,27.6,67.0,15.0,66.0,16.0,10.44,-0.37,10.07,115.5,104.5,11.0,94.4,0.297,0.063,0.556,0.518,11.8,35.1,0.221,0.476,14.1,69.3,0.219,Chicago Stadium,759980.0,N,0.8170731707317073,N,Y,N,N
1992.0,Portland Trail Blazers,28.1,57.0,25.0,59.0,23.0,7.27,-0.33,6.94,111.4,104.2,7.2,99.0,0.335,0.128,0.541,0.495,13.6,35.6,0.253,0.471,14.3,69.9,0.251,Memorial Coliseum,528408.0,N,0.6951219512195121,N,N,Y,N
1992.0,Utah Jazz,28.5,55.0,27.0,57.0,25.0,6.39,-0.69,5.7,112.2,105.6,6.6,95.5,0.363,0.067,0.557,0.504,13.7,32.7,0.286,0.475,13.0,68.9,0.214,Delta Center,806663.0,N,0.6707317073170732,N,N,N,N
1992.0,Phoenix Suns,27.0,53.0,29.0,56.0,26.0,5.94,-0.26,5.68,112.1,106.2,5.9,99.4,0.332,0.083,0.556,0.508,13.1,31.7,0.258,0.471,13.0,67.7,0.223,Arizona Veterans Memorial Coliseum,594327.0,N,0.6463414634146342,N,N,N,N
1992.0,Cleveland Cavaliers,27.6,57.0,25.0,55.0,27.0,5.45,-0.11,5.34,113.9,108.2,5.7,95.0,0.322,0.101,0.557,0.506,11.8,30.5,0.259,0.483,12.3,66.5,0.174,Coliseum at Richfield,677408.0,N,0.6951219512195121,N,N,N,N
1992.0,New York Knicks,27.3,51.0,31.0,52.0,30.0,3.89,-0.22,3.67,108.3,104.2,4.1,92.9,0.295,0.089,0.531,0.491,13.7,34.6,0.216,0.471,14.0,71.1,0.248,Madison Square Garden (IV),726608.0,N,0.6219512195121951,N,N,N,N
1992.0,Boston Celtics,29.2,51.0,31.0,51.0,31.0,3.62,-0.21,3.41,110.8,107.0,3.8,95.8,0.266,0.05,0.544,0.5,12.7,31.9,0.215,0.469,11.9,68.7,0.22,Boston Garden,610776.0,N,0.6219512195121951,N,N,N,N
1992.0,Golden State Warriors,25.5,55.0,27.0,50.0,32.0,3.9,-0.14,3.77,113.6,109.9,3.7,103.4,0.351,0.103,0.568,0.524,13.6,31.8,0.262,0.499,14.9,64.2,0.256,Oakland-Alameda County Coliseum Arena,616025.0,N,0.6707317073170732,N,N,N,N
1992.0,San Antonio Spurs,27.3,47.0,35.0,50.0,32.0,3.32,-0.51,2.81,107.5,104.1,3.4,96.2,0.317,0.057,0.528,0.485,13.9,34.2,0.233,0.469,13.5,69.8,0.224,HemisFair Arena,658337.0,N,0.573170731707317,N,N,N,N
1992.0,Detroit Pistons,30.1,48.0,34.0,47.0,35.0,2.04,0.01,2.06,107.5,105.3,2.2,91.6,0.307,0.077,0.52,0.477,13.5,34.9,0.228,0.468,12.5,68.5,0.204,The Palace of Auburn Hills,879614.0,N,0.5853658536585366,N,N,N,N
1992.0,Seattle SuperSonics,27.3,47.0,35.0,46.0,36.0,1.88,-0.02,1.86,110.7,108.8,1.9,95.4,0.317,0.091,0.538,0.489,14.0,36.5,0.249,0.491,14.2,66.8,0.269,Seattle Center Coliseum,588928.0,N,0.573170731707317,N,N,N,N
1992.0,Indiana Pacers,26.4,40.0,42.0,46.0,36.0,1.89,-0.04,1.85,111.7,109.9,1.8,99.0,0.334,0.133,0.566,0.518,14.7,31.8,0.264,0.483,12.8,67.4,0.27,Market Square Arena,517352.0,N,0.4878048780487805,Y,N,N,N
1992.0,Los Angeles Clippers,27.3,45.0,37.0,44.0,38.0,1.07,0.03,1.1,105.8,104.7,1.1,96.5,0.314,0.071,0.524,0.483,13.6,31.6,0.226,0.475,14.9,67.5,0.244,Los Angeles Memorial Sports Arena,500200.0,N,0.5487804878048781,N,N,N,N
1992.0,Los Angeles Lakers,28.3,43.0,39.0,38.0,44.0,-1.1,0.15,-0.95,107.7,108.9,-1.2,92.5,0.327,0.064,0.516,0.465,12.0,32.7,0.25,0.493,13.8,64.0,0.187,Great Western Forum,699240.0,N,0.524390243902439,N,N,N,N
1992.0,Philadelphia 76ers,27.6,35.0,47.0,37.0,45.0,-1.27,-0.07,-1.34,108.3,109.7,-1.4,93.7,0.335,0.101,0.539,0.488,13.8,30.9,0.26,0.496,13.0,66.4,0.192,The Spectrum,574137.0,N,0.4268292682926829,Y,N,N,N
1992.0,Atlanta Hawks,27.2,38.0,44.0,37.0,45.0,-1.5,0.35,-1.15,107.3,108.9,-1.6,97.8,0.277,0.09,0.519,0.481,13.0,33.6,0.203,0.497,13.2,68.3,0.209,Omni Coliseum,511803.0,N,0.4634146341463415,Y,N,N,N
1992.0,New Jersey Nets,25.6,40.0,42.0,36.0,46.0,-1.7,0.15,-1.54,107.0,108.7,-1.7,98.0,0.265,0.088,0.51,0.473,14.1,39.1,0.194,0.488,14.1,66.3,0.247,Brendan Byrne Arena,517356.0,N,0.4878048780487805,Y,N,N,N
1992.0,Houston Rockets,28.0,42.0,40.0,36.0,46.0,-1.72,-0.22,-1.94,106.2,108.0,-1.8,95.1,0.293,0.139,0.537,0.499,15.0,30.9,0.216,0.477,12.5,66.4,0.209,The Summit,592790.0,N,0.5121951219512195,N,N,N,N
1992.0,Milwaukee Bucks,30.2,31.0,51.0,36.0,46.0,-1.71,0.26,-1.46,108.8,110.6,-1.8,95.5,0.292,0.139,0.529,0.486,14.2,35.9,0.221,0.514,15.3,65.0,0.237,Bradley Center,635515.0,N,0.3780487804878049,Y,N,N,N
1992.0,Charlotte Hornets,25.2,31.0,51.0,31.0,51.0,-3.9,0.33,-3.57,107.1,110.9,-3.8,101.7,0.286,0.049,0.527,0.485,13.0,31.1,0.216,0.51,14.1,65.4,0.222,Charlotte Coliseum,971618.0,N,0.3780487804878049,Y,N,N,N
1992.0,Miami Heat,24.4,38.0,44.0,30.0,52.0,-4.21,0.27,-3.94,106.7,110.9,-4.2,97.7,0.33,0.106,0.532,0.479,14.6,33.0,0.26,0.508,13.9,67.6,0.235,Miami Arena,613583.0,N,0.4634146341463415,Y,N,N,N
1992.0,Washington Bullets,26.1,25.0,57.0,29.0,53.0,-4.46,0.11,-4.35,103.9,108.4,-4.5,97.7,0.268,0.074,0.514,0.471,13.3,28.9,0.208,0.493,14.0,66.2,0.235,Capital Centre,505988.0,N,0.3048780487804878,Y,N,N,N
1992.0,Sacramento Kings,25.1,29.0,53.0,26.0,56.0,-6.06,0.44,-5.63,103.9,109.9,-6.0,99.6,0.301,0.094,0.525,0.482,14.3,28.5,0.225,0.493,13.9,64.2,0.233,ARCO Arena (II),697574.0,N,0.35365853658536583,Y,N,N,N
1992.0,Orlando Magic,26.6,21.0,61.0,23.0,59.0,-6.91,0.4,-6.52,103.5,110.5,-7.0,98.0,0.319,0.086,0.514,0.467,14.6,32.4,0.238,0.502,13.5,67.8,0.26,Orlando Arena,621191.0,N,0.25609756097560976,Y,N,N,N
1992.0,Minnesota Timberwolves,26.4,15.0,67.0,23.0,59.0,-7.05,0.2,-6.85,105.0,112.4,-7.4,95.1,0.253,0.054,0.505,0.467,12.4,31.5,0.188,0.497,13.0,62.3,0.244,Target Center,769035.0,N,0.18292682926829268,Y,N,N,N
1992.0,Denver Nuggets,25.7,24.0,58.0,21.0,61.0,-7.87,0.28,-7.59,100.7,108.6,-7.9,98.6,0.28,0.057,0.493,0.451,14.9,34.8,0.207,0.494,14.7,68.0,0.279,McNichols Sports Arena,534323.0,N,0.2926829268292683,Y,N,N,N
1992.0,Dallas Mavericks,28.2,22.0,60.0,21.0,61.0,-7.65,0.18,-7.47,103.0,111.1,-8.1,94.4,0.281,0.112,0.501,0.458,13.1,31.2,0.211,0.483,11.5,67.8,0.259,Reunion Arena,634380.0,N,0.2682926829268293,Y,N,N,N
1993.0,Seattle SuperSonics,27.7,55.0,27.0,59.0,23.0,7.07,-0.42,6.66,112.3,104.9,7.4,96.0,0.316,0.085,0.546,0.502,13.5,35.5,0.241,0.489,16.4,67.7,0.26,Seattle Center Coliseum,646589.0,N,0.6707317073170732,N,N,N,N
1993.0,Chicago Bulls,28.1,57.0,25.0,58.0,24.0,6.29,-0.1,6.19,112.9,106.1,6.8,92.5,0.271,0.093,0.535,0.499,12.0,36.3,0.199,0.493,15.4,68.7,0.239,Chicago Stadium,759656.0,N,0.6951219512195121,N,Y,N,N
1993.0,Cleveland Cavaliers,28.8,54.0,28.0,58.0,24.0,6.45,-0.15,6.3,112.7,106.0,6.7,94.8,0.308,0.108,0.565,0.518,12.5,28.1,0.247,0.482,13.1,69.1,0.185,Coliseum at Richfield,751465.0,N,0.6585365853658537,N,N,Y,N
1993.0,Phoenix Suns,28.2,62.0,20.0,57.0,25.0,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.566,0.521,14.2,33.0,0.27,0.496,13.9,69.2,0.206,America West Arena,779943.0,N,0.7560975609756098,N,N,N,N
1993.0,New York Knicks,28.3,60.0,22.0,58.0,24.0,6.16,-0.29,5.87,106.1,99.7,6.4,94.5,0.336,0.088,0.526,0.479,14.1,33.1,0.249,0.444,14.9,72.1,0.294,Madison Square Garden (IV),804840.0,N,0.7317073170731707,N,N,N,N
1993.0,Houston Rockets,27.4,55.0,27.0,53.0,29.0,4.23,-0.66,3.57,109.6,105.2,4.4,94.4,0.31,0.159,0.557,0.515,14.5,30.0,0.235,0.474,13.4,68.5,0.201,The Summit,554210.0,N,0.6707317073170732,N,N,N,N
1993.0,Portland Trail Blazers,28.2,51.0,31.0,49.0,33.0,3.11,-0.19,2.92,108.3,105.2,3.1,99.1,0.347,0.115,0.526,0.476,12.6,32.7,0.259,0.488,14.8,71.0,0.237,Memorial Coliseum,528408.0,N,0.6219512195121951,N,N,N,N
1993.0,San Antonio Spurs,27.5,49.0,33.0,48.0,34.0,2.67,-0.46,2.21,109.6,106.8,2.8,95.4,0.347,0.102,0.555,0.507,13.6,27.8,0.265,0.477,12.3,70.1,0.221,HemisFair Arena,658337.0,N,0.5975609756097561,N,N,N,N
1993.0,Utah Jazz,29.3,47.0,35.0,47.0,35.0,2.17,-0.43,1.74,109.6,107.4,2.2,96.5,0.365,0.061,0.55,0.498,13.8,31.0,0.279,0.487,13.9,68.7,0.25,Delta Center,815892.0,N,0.573170731707317,N,N,N,N
1993.0,Indiana Pacers,26.8,41.0,41.0,46.0,36.0,1.7,0.08,1.77,111.9,110.1,1.8,96.0,0.342,0.112,0.547,0.498,13.5,34.2,0.262,0.485,12.7,67.4,0.281,Market Square Arena,530891.0,N,0.5,N,N,N,N
1993.0,Orlando Magic,25.8,41.0,41.0,45.0,37.0,1.32,0.03,1.35,108.5,107.1,1.4,96.3,0.372,0.133,0.554,0.509,15.5,31.4,0.271,0.473,11.9,68.8,0.232,Orlando Arena,621191.0,N,0.5,N,N,N,N
1993.0,New Jersey Nets,27.3,43.0,39.0,45.0,37.0,1.26,-0.05,1.2,106.5,105.2,1.3,96.0,0.319,0.069,0.522,0.473,14.4,35.5,0.244,0.48,14.1,69.5,0.24,Brendan Byrne Arena,620416.0,N,0.524390243902439,N,N,N,N
1993.0,Boston Celtics,28.6,48.0,34.0,43.0,39.0,0.89,0.04,0.93,108.7,107.8,0.9,94.9,0.27,0.054,0.536,0.495,12.9,31.2,0.21,0.479,12.9,69.0,0.251,Boston Garden,608495.0,N,0.5853658536585366,N,N,N,N
1993.0,Los Angeles Clippers,26.7,41.0,41.0,42.0,40.0,0.35,-0.03,0.33,107.4,107.1,0.3,99.1,0.297,0.067,0.53,0.493,13.9,32.7,0.213,0.489,15.1,66.7,0.263,Los Angeles Memorial Sports Arena,532625.0,N,0.5,N,N,N,N
1993.0,Charlotte Hornets,25.7,44.0,38.0,40.0,42.0,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,0.329,0.074,0.547,0.499,13.8,31.3,0.254,0.487,12.6,65.0,0.201,Charlotte Coliseum,971880.0,N,0.5365853658536586,N,N,N,N
1993.0,Atlanta Hawks,27.1,43.0,39.0,39.0,43.0,-0.87,0.2,-0.67,109.3,110.2,-0.9,97.6,0.305,0.148,0.534,0.493,14.0,34.8,0.227,0.516,14.6,68.5,0.224,Omni Coliseum,491229.0,N,0.524390243902439,N,N,N,N
